CODE POSTAL;CODE INSEE;NOM COMMUNE;CODE DEPARTEMENT;SURFACE COMMUNE (km²);POPULATION COMMUNE;coordonnees;var;Couverture;Opérateur;var2;Type Couverture;Réseau
59225;59149;CLARY;59;10.2270784819;1145.94;50.0684086956, 3.39589708434;Par au moins un opérateur Couverture surfacique 3G;1.0;Tout Opérateur ; surfacique 3G;Surfacique;3G
59225;59149;CLARY;59;10.2270784819;1145.94;50.0684086956, 3.39589708434;Bouygues Telecom Couverture surfacique 2G;1.0;Bouygues Telecom ; surfacique 2G;Surfacique;2G
59830;59150;COBRIEUX;59;2.98311337441;528.97;50.5391896198, 3.24034953595;Bouygues Telecom Couverture population 4G;1.0;Bouygues Telecom ; population 4G;Population;4G
59830;59150;COBRIEUX;59;2.98311337441;528.97;50.5391896198, 3.24034953595;Free Mobile Couverture population 2G;1.0;Free Mobile ; population 2G;Population;2G
59830;59150;COBRIEUX;59;2.98311337441;528.97;50.5391896198, 3.24034953595;Orange France Couverture surfacique 4G;1.0;Orange France ; surfacique 4G;Surfacique;4G
59830;59150;COBRIEUX;59;2.98311337441;528.97;50.5391896198, 3.24034953595;Bouygues Telecom Couverture population 3G;1.0;Bouygues Telecom ; population 3G;Population;3G
59830;59150;COBRIEUX;59;2.98311337441;528.97;50.5391896198, 3.24034953595;Free Mobile Couverture surfacique 2G;1.0;Free Mobile ; surfacique 2G;Surfacique;2G
59830;59150;COBRIEUX;59;2.98311337441;528.97;50.5391896198, 3.24034953595;Orange France Couverture population 3G;1.0;Orange France ; population 3G;Population;3G
59680;59151;COLLERET;59;18.9984654136;1676.28;50.2598488269, 4.084768244;Orange France Couverture surfacique 2G;0.99;Orange France ; surfacique 2G;Surfacique;2G
59680;59151;COLLERET;59;18.9984654136;1676.28;50.2598488269, 4.084768244;Par au moins un opérateur Couverture surfacique 2G;1.0;Tout Opérateur ; surfacique 2G;Surfacique;2G
59680;59151;COLLERET;59;18.9984654136;1676.28;50.2598488269, 4.084768244;Bouygues Telecom Couverture surfacique 3G;0.93;Bouygues Telecom ; surfacique 3G;Surfacique;3G
59680;59151;COLLERET;59;18.9984654136;1676.28;50.2598488269, 4.084768244;Orange France Couverture population 3G;1.0;Orange France ; population 3G;Population;3G
59680;59151;COLLERET;59;18.9984654136;1676.28;50.2598488269, 4.084768244;Orange France Couverture surfacique 3G;0.99;Orange France ; surfacique 3G;Surfacique;3G
59680;59151;COLLERET;59;18.9984654136;1676.28;50.2598488269, 4.084768244;Orange France Couverture population 4G;0.09;Orange France ; population 4G;Population;4G
59560;59152;COMINES;59;16.419742181;12360.19;50.7497420422, 3.01679477405;Bouygues Telecom Couverture population 4G;0.98;Bouygues Telecom ; population 4G;Population;4G
59560;59152;COMINES;59;16.419742181;12360.19;50.7497420422, 3.01679477405;SFR Couverture surfacique 2G;0.98;SFR ; surfacique 2G;Surfacique;2G
59560;59152;COMINES;59;16.419742181;12360.19;50.7497420422, 3.01679477405;Orange France Couverture surfacique 2G;0.98;Orange France ; surfacique 2G;Surfacique;2G
59560;59152;COMINES;59;16.419742181;12360.19;50.7497420422, 3.01679477405;Bouygues Telecom Couverture surfacique 3G;0.98;Bouygues Telecom ; surfacique 3G;Surfacique;3G
59560;59152;COMINES;59;16.419742181;12360.19;50.7497420422, 3.01679477405;Par au moins un opérateur Couverture population 2G;1.0;Tout Opérateur ; population 2G;Population;2G
59560;59152;COMINES;59;16.419742181;12360.19;50.7497420422, 3.01679477405;Orange France Couverture surfacique 3G;0.98;Orange France ; surfacique 3G;Surfacique;3G
59560;59152;COMINES;59;16.419742181;12360.19;50.7497420422, 3.01679477405;Free Mobile Couverture surfacique 3G;0.98;Free Mobile ; surfacique 3G;Surfacique;3G
